,driver_name,rating,year
799,richard wee,B,2017
800,richard westbrook,P,2017
801,richard westbrook,P,2018
802,richard westbrook,P,2019
803,richard westbrook,P,2020
804,richard westbrook,P,2022
805,richie stanaway,P,2017
806,ricky taylor,G,2019
807,ricky taylor,P,2018
808,ricky taylor,G,2017
809,ricky taylor,P,2022
810,rik breukers,S,2017
811,rino mastronardi,B,2020
812,rob bell,P,2017
813,robert kubica,P,2022
814,robert smith,B,2019
815,robert smith,B,2017
816,roberto gonzalez,S,2017
817,roberto gonzalez,S,2018
818,roberto gonzalez,S,2019
819,roberto gonzalez,S,2020
820,roberto gonzalez,S,2021
821,roberto gonzalez,S,2022
822,roberto lacorte,B,2019
823,roberto lacorte,B,2017
824,roberto lacorte,B,2018
825,roberto lacorte,B,2020
826,roberto lacorte,B,2021
827,roberto merhi,P,2020
828,roberto merhi,P,2021
829,robin frijns,P,2021
830,robin frijns,P,2022
831,rodrigo baptista,S,2019
832,rodrigo sales,B,2022
833,rolf ineichen,S,2022
834,romain brandela,B,2017
835,romain dumas,P,2018
836,romain dumas,P,2019
837,romain dumas,P,2017
838,romain dumas,P,2020
839,romain dumas,P,2022
840,roman rusinov,G,2019
841,roman rusinov,G,2017
842,roman rusinov,G,2018
843,roman rusinov,G,2020
844,roman rusinov,G,2021
845,romano ricci,B,2018
846,romano ricci,B,2019
847,ross gunn,S,2017
848,ross gunn,S,2020
849,rubens barrichello,P,2017
850,rui andrade,S,2021
851,rui andrade,S,2022
852,ryan briscoe,P,2017
853,ryan briscoe,P,2018
854,ryan briscoe,P,2019
855,ryan briscoe,P,2022
856,ryan cullen,S,2019
857,ryan cullen,S,2020
858,ryan cullen,S,2022
859,ryo hirakawa,G,2017
860,ryo hirakawa,P,2022
861,salih yoluc,B,2018
862,salih yoluc,B,2019
863,salih yoluc,B,2017
864,salih yoluc,B,2020
865,sam bird,P,2017
866,sam bird,P,2018
867,sam bird,P,2019
868,sam bird,P,2020
869,sam bird,P,2022
870,sarah bovy,B,2022
871,satoshi hoshino,B,2019
872,satoshi hoshino,B,2022
873,satoshi hoshino,B,2021
874,scott dixon,P,2019
875,scott dixon,P,2017
876,scott dixon,P,2018
877,sean gelael,S,2021
878,sean gelael,S,2022
879,sebastian priaulx,S,2022
880,sebastien bourdais,P,2022
881,sergey sirotkin,P,2017
882,sergey sirotkin,P,2019
883,sergio pianezzola,B,2019
884,sergio pianezzola,S,2020
885,shane van gisbergen,G,2022
886,simon mann,S,2022
887,simon trummer,G,2017
888,simon trummer,G,2020
889,simon trummer,G,2021
890,sophia floersch,S,2020
891,sophia floersch,S,2021
892,sophia floersch,S,2022
893,spencer pumpelly,S,2018
894,stefan mucke,P,2019
895,stefan mucke,P,2017
896,stefan mucke,P,2018
897,steffen gorig,B,2020
898,steven palette,S,2022
899,steven thomas,B,2022
900,stoffel vandoorne,P,2019
901,stoffel vandoorne,P,2021
902,stephane lemeret,S,2017
903,stephane richelmi,G,2019
904,stephane richelmi,G,2018
905,stephane sarrazin,P,2018
906,stephane sarrazin,P,2019
907,stephane sarrazin,P,2017
908,sven muller,G,2018
909,sven muller,G,2019
910,sebastien bourdais,P,2018
911,sebastien bourdais,P,2017
912,sebastien bourdais,P,2019
913,sebastien buemi,P,2019
914,sebastien buemi,P,2017
915,sebastien buemi,P,2018
916,sebastien bourdais,P,2020
917,sebastien buemi,P,2020
918,sebastien buemi,P,2021
919,sebastien buemi,P,2022
920,sebastien ogier,P,2022
921,sebastien page,B,2022
922,tacksung kim,B,2018
923,takeshi kimura,B,2019
924,takeshi kimura,B,2020
925,takeshi kimura,B,2022
926,tatiana calderon,S,2020
927,tatiana calderon,S,2021
928,thimothe buret,S,2018
929,thomas dagoneau,B,2018
930,thomas flohr,B,2019
931,thomas flohr,B,2017
932,thomas flohr,B,2018
933,thomas flohr,B,2020
934,thomas flohr,B,2022
935,thomas flohr,B,2021
936,thomas jackson,S,2021
937,thomas laurent,G,2018
938,thomas laurent,G,2019
939,thomas laurent,S,2017
940,thomas laurent,G,2020
941,thomas merrill,B,2022
942,thomas preining,S,2019
943,thomas preining,G,2020
944,tijmen van der helm,S,2022
945,timo bernhard,P,2017
946,timo bernhard,P,2018
947,timothy pappas,B,2018
948,timothe buret,S,2017
949,timothe buret,S,2020
950,tom blomqvist,P,2020
951,tom blomqvist,P,2021
952,tom dillmann,G,2019
953,tom dillmann,G,2018
954,tom dillmann,G,2020
955,tom gamble,S,2021
956,tom milner,P,2019
957,tommy milner,P,2017
958,tommy milner,P,2018
959,tommy milner,P,2022
960,tomonobu fujii,G,2021
961,tomonobu fujii,G,2022
962,toni vilander,P,2017
963,toni vilander,P,2019
964,toni vilander,P,2018
965,toni vilander,P,2020
966,toni vilander,P,2022
967,tony kanaan,P,2018
968,tor graves,S,2017
969,townsend bell,G,2017
970,tracy krohn,B,2018
971,tracy krohn,B,2019
972,tracy krohn,B,2017
973,tristan gommendy,P,2018
974,tristan gommendy,P,2017
975,tristan gommendy,P,2019
976,tristan gommendy,P,2020
977,tristan vautier,G,2022
978,victor shaitar,S,2018
979,victor shaytar,S,2017
